file,cryptopunks,blurr,brightness,colorswap,move,resize,rotated
8299.png,5.845023346693387,2.9225116733466936,1.9483411155644623,1.435161998997996,1.25250501002004,1.0872439378757517,0.8350033352419124
8300.png,6.2625250501002006,3.1312625250501003,2.0875083500334,1.5656312625250501,1.336005350701403,1.1133377922511691,0.8946464357286
8301.png,8.245658016032063,4.122829008016032,2.748552672010688,2.0353206412825653,1.5865063527054108,1.3568804275217101,1.1779511451474376
8302.png,5.740647995991984,2.870323997995992,1.913549331997328,1.4482089178356714,1.1690046693386773,0.956774665998664,0.8499141139421701
file,cryptopunks,blurr,brightness,colorswap,move,resize,rotated
8305.png,5.5840848697394785,2.7920424348697392,1.861361623246493,1.4221150551102204,1.0333166332665331,0.8610971943887775,0.7828156312625251
8306.png,6.88877755511022,3.44438877755511,2.29625918503674,1.696100526052104,1.3568804208416831,1.130733684034736,0.98411107930146
8308.png,6.993153006012025,3.4965765030060125,2.348446893787575,1.7482882515030063,1.3464428857715431,1.14812959251837,1.0362987832808472
8310.png,6.993153006012025,3.4965765030060125,2.331051002004008,1.722194388777555,1.4195056713426852,1.2177132097528391,0.9990218580017178
8311.png,8.193470240480961,4.0967351202404805,2.7311567468269873,2.0744614228456912,1.4508182965931862,1.2438070641282566,1.1555849842542227
8312.png,6.993153006012025,3.4965765030060125,2.331051002004008,1.722194388777555,1.377755511022044,1.2264111556446227,0.9990218580017178
8314.png,6.105961923847695,3.0529809619238475,2.0353206412825653,1.5264904809619237,1.2420674749498997,1.095941883767535,0.8871910535356426
8315.png,4.592518336673347,2.2962591683366735,1.513443553774215,1.1481295841683368,0.7828156312625251,0.8350033400133601,0.6187971228170627
8316.png,5.792835671342686,2.896417835671343,1.930945223780895,1.4482089178356714,1.2003172945891785,1.0002644121576487,0.827547953048955
8318.png,6.366900501002004,3.183450250501002,2.122300167000668,1.591725125250501,1.2107548496993987,1.061150083500334,0.9095572144288577
8319.png,8.506596492985972,4.253298246492986,2.8355321643286575,2.1005552855711422,1.6386940480961922,1.3829742818971276,1.2152280704265674
8323.png,5.323146292585171,2.6615731462925853,1.7743820975283902,1.3046927104208417,1.1690046693386773,0.9393787575150301,0.7753602490695677
8324.png,6.88877755511022,3.44438877755511,2.3136550768203072,1.722194388777555,1.3255677955911822,1.1742234468937875,1.021388018894933
8327.png,8.08909488977956,4.04454744488978,2.696364963259853,1.996179859719439,1.596943887775551,1.3307865731462927,1.1555849842542227
8328.png,6.053774248496993,3.0268871242484967,2.017924749498998,1.500396618236473,1.2107548496993987,1.0437541750167,0.8648248926424277
8329.png,5.218770841683367,2.6093854208416833,1.756986205744823,1.2916457915831663,1.0333166332665331,0.8697951402805612,0.7529940881763527
8333.png,5.63627254509018,2.81813627254509,1.8787575150300602,1.3829742735470942,1.1481295991983969,0.956774665998664,0.80518179215574
8334.png,4.644706112224449,2.3223530561122243,1.5656312625250501,1.1611765280561122,0.9811289178356714,0.8263053941215764,0.6560740480961924
8335.png,6.2625250501002006,3.1312625250501003,2.0875083500334,1.5395373997995994,1.2316299198396794,1.061150083500334,0.8946464357286
8336.png,4.905644589178357,2.4528222945891787,1.6352148630594523,1.2264111472945893,0.9393787575150301,0.8437012859051437,0.7008063698826225
8337.png,7.045340681362726,3.522670340681363,2.348446893787575,1.7613351703406814,1.3464428857715431,1.1916193553774217,1.006477240194675
8338.png,7.045340681362726,3.522670340681363,2.348446893787575,1.7352413076152302,1.409068136272545,1.1742234468937875,1.006477240194675
8339.png,6.419088176352705,3.2095440881763526,2.139696058784235,1.6047720440881763,1.2211923847695392,1.0698480293921175,0.9170125966218151
8340.png,7.515030060120241,3.7575150300601203,2.50501002004008,1.8787575150300602,1.4195056713426852,1.200317301269205,1.0735757228743201
8341.png,6.471275851703406,3.235637925851703,2.157091950567802,1.591725125250501,1.2942551703406813,1.1133377922511691,0.9244679788147723
8343.png,5.688460220440882,2.844230110220441,1.8961534068136274,1.3960212174348696,1.1168169739478957,0.9654726118904475,0.8126371743486974
8344.png,5.63627254509018,2.81813627254509,1.8961534068136274,1.409068136272545,1.2629425450901803,0.956774665998664,0.7977264099627827
8345.png,6.001586472945892,3.000793236472946,2.0005288243152974,1.500396618236473,1.2211923847695392,1.0176603206412826,0.8573694961351275
8346.png,6.940965230460921,3.4704826152304604,2.331051002004008,1.7091474699398799,1.3568804208416831,1.165525501002004,0.9990218580017178
8351.png,6.784402104208416,3.392201052104208,2.261467368069472,1.6700066883767537,1.398630601202405,1.182921392785571,0.9692003006012023
8352.png,7.254091482965931,3.6270457414829655,2.40063460253841,1.7874290330661324,1.398630601202405,1.235109101536406,1.0139326223876324
8353.png,7.671593186372745,3.8357965931863727,2.557197728790915,1.9178982965931863,1.5134435470941883,1.3133906646626585,1.1108526624677928
8354.png,6.2625250501002006,3.1312625250501003,2.0875083500334,1.5395373997995994,1.336005350701403,1.14812959251837,0.8946464357286
8355.png,6.210337374749499,3.1051686873747495,2.0527165330661323,1.5786781813627255,0.970691382765531,0.9654726118904475,0.9095572144288577
8357.png,8.036907114228455,4.018453557114228,2.678969038076152,2.009226778557114,1.523881102204409,1.287296810287241,1.1481295877469224
